"","animal_id_intake","intake_type","intake_condition","time_in_shelter_days","animal_type","sex_upon_intake","age_upon_intake_(years)","age_upon_intake_age_group","breed","color","outcome_type","age","time_in_shelter_months","time_in_shelter_weeks","binary","trinary","fixed_or_not"
"35","A410684","Owner Surrender","Normal",6,"Cat","Female",9,"(7.5, 10.0]","Domestic Shorthair Mix","Calico","Adoption",9,0,1,0,"under_one_month","Fixed"
"36","A414620","Owner Surrender","Normal",6,"Dog","Male",13,"(12.5, 15.0]","Border Collie Mix","White","Adoption",13,0,1,0,"under_one_month","Fixed"
"37","A416756","Owner Surrender","Normal",66,"Dog","Male",11,"(10.0, 12.5]","Pit Bull","Red","Return to Owner",11,2,9,1,"over one month","Fixed"
"38","A417622","Public Assist","Normal",7,"Dog","Male",10,"(7.5, 10.0]","Miniature Pinscher","Black","Return to Owner",10,0,1,0,"under_one_month","Fixed"
"39","A417832","Owner Surrender","Normal",98,"Cat","Female",11,"(10.0, 12.5]","Domestic Shorthair Mix","Black","Transfer",11,3,14,1,"over one month","Fixed"
"40","A420143","Owner Surrender","Normal",8,"Cat","Female",10,"(7.5, 10.0]","Domestic Shorthair Mix","Black","Transfer",10,0,1,0,"under_one_month","Fixed"
"41","A421087","Public Assist","Normal",6,"Dog","Female",11,"(10.0, 12.5]","Shetland Sheepdog","White","Return to Owner",11,0,1,0,"under_one_month","Fixed"
"42","A430437","Stray","Normal",7,"Dog","Male",10,"(7.5, 10.0]","Cairn Terrier","Brown Brindle","Transfer",10,0,1,0,"under_one_month","Fixed"
"43","A431615","Owner Surrender","Normal",80,"Dog","Female",8,"(7.5, 10.0]","Pit Bull","Chocolate","Adoption",8,3,11,1,"over one month","Fixed"
"44","A432197","Stray","Normal",70,"Cat","Female",7,"(5.0, 7.5]","Domestic Shorthair Mix","Orange Tabby","Adoption",7,2,10,1,"over one month","Fixed"
"45","A433746","Owner Surrender","Normal",6,"Dog","Female",9,"(7.5, 10.0]","Australian Shepherd Mix","White","Transfer",9,0,1,0,"under_one_month","Fixed"
"46","A435209","Public Assist","Normal",9,"Dog","Female",9,"(7.5, 10.0]","Chow Chow Mix","Tan","Return to Owner",9,0,1,0,"under_one_month","Fixed"
"47","A435358","Public Assist","Normal",8,"Dog","Female",9,"(7.5, 10.0]","Australian Cattle Dog Mix","Tricolor","Return to Owner",9,0,1,0,"under_one_month","Fixed"
"48","A439733","Public Assist","Normal",9,"Dog","Female",10,"(7.5, 10.0]","German Shepherd","Brown","Return to Owner",10,0,1,0,"under_one_month","Fixed"
"49","A443497","Owner Surrender","Normal",9,"Dog","Female",9,"(7.5, 10.0]","Pit Bull Mix","White","Transfer",9,0,1,0,"under_one_month","Fixed"
"50","A444115","Owner Surrender","Normal",6,"Cat","Female",9,"(7.5, 10.0]","Domestic Longhair Mix","Black","Transfer",9,0,1,0,"under_one_month","Fixed"
"51","A448267","Stray","Normal",55,"Dog","Male",12,"(10.0, 12.5]","Pit Bull Mix","Brown","Adoption",12,2,8,1,"over one month","Fixed"
"52","A449968","Owner Surrender","Normal",50,"Cat","Female",10,"(7.5, 10.0]","Domestic Shorthair Mix","Brown Tabby","Adoption",10,2,7,1,"over one month","Fixed"
"53","A449968","Owner Surrender","Normal",8,"Cat","Female",8,"(7.5, 10.0]","Domestic Shorthair Mix","Brown Tabby","Adoption",8,0,1,0,"under_one_month","Fixed"
"54","A452948","Public Assist","Normal",8,"Dog","Male",7,"(5.0, 7.5]","Labrador Retriever","Red","Return to Owner",7,0,1,0,"under_one_month","Fixed"
"55","A453523","Stray","Normal",9,"Dog","Male",10,"(7.5, 10.0]","Golden Retriever","Tan","Adoption",10,0,1,0,"under_one_month","Fixed"
"56","A455868","Owner Surrender","Normal",61,"Dog","Female",8,"(7.5, 10.0]","Black","Black","Adoption",8,2,9,1,"over one month","Fixed"
"57","A456133","Stray","Normal",642,"Dog","Male",10,"(7.5, 10.0]","Catahoula Mix","Red","Adoption",10,21,92,1,"over one month","Fixed"
"58","A456857","Public Assist","Normal",7,"Dog","Female",9,"(7.5, 10.0]","Black","Black","Return to Owner",9,0,1,0,"under_one_month","Fixed"
"59","A459859","Stray","Injured",9,"Dog","Male",8,"(7.5, 10.0]","Pit Bull","White","Transfer",8,0,1,0,"under_one_month","Fixed"
"60","A460630","Stray","Normal",7,"Dog","Female",9,"(7.5, 10.0]","Miniature Poodle","White","Transfer",9,0,1,0,"under_one_month","Fixed"
"61","A461171","Stray","Normal",9,"Dog","Male",10,"(7.5, 10.0]","Pit Bull Mix","Chocolate","Transfer",10,0,1,0,"under_one_month","Fixed"
"62","A462504","Owner Surrender","Normal",91,"Dog","Female",11,"(10.0, 12.5]","Pit Bull Mix","Red","Adoption",11,3,13,1,"over one month","Fixed"
"63","A463218","Owner Surrender","Normal",6,"Dog","Female",8,"(7.5, 10.0]","Basset Hound","Tricolor","Transfer",8,0,1,0,"under_one_month","Fixed"
"64","A464189","Owner Surrender","Sick",9,"Dog","Female",9,"(7.5, 10.0]","Chihuahua Longhair","White","Transfer",9,0,1,0,"under_one_month","Fixed"
"65","A464652","Public Assist","Aged",7,"Dog","Male",11,"(10.0, 12.5]","Border Collie Mix","Black","Transfer",11,0,1,0,"under_one_month","Intact"
"66","A466709","Owner Surrender","Normal",7,"Cat","Male",8,"(7.5, 10.0]","American Shorthair Mix","Blue","Transfer",8,0,1,0,"under_one_month","Fixed"
"67","A468181","Stray","Normal",7,"Dog","Male",8,"(7.5, 10.0]","Boxer","Tan","Return to Owner",8,0,1,0,"under_one_month","Fixed"
"68","A471018","Stray","Normal",8,"Cat","Female",10,"(7.5, 10.0]","Domestic Shorthair Mix","Blue","Transfer",10,0,1,0,"under_one_month","Fixed"
"69","A474311","Stray","Normal",72,"Cat","Male",8,"(7.5, 10.0]","Domestic Shorthair Mix","Brown Tabby","Adoption",8,2,10,1,"over one month","Fixed"
"70","A474852","Public Assist","Normal",7,"Dog","Male",10,"(7.5, 10.0]","German Shepherd Mix","Tan","Return to Owner",10,0,1,0,"under_one_month","Fixed"
"71","A476054","Public Assist","Normal",9,"Dog","Female",6,"(5.0, 7.5]","Labrador Retriever Mix","Black","Return to Owner",6,0,1,0,"under_one_month","Fixed"
"72","A476605","Stray","Normal",6,"Dog","Male",7,"(5.0, 7.5]","Pit Bull Mix","Black","Return to Owner",7,0,1,0,"under_one_month","Intact"
"73","A476706","Owner Surrender","Normal",6,"Dog","Male",8,"(7.5, 10.0]","Doberman Pinsch Mix","Chocolate","Euthanasia",8,0,1,0,"under_one_month","Fixed"
"74","A477746","Owner Surrender","Normal",59,"Cat","Female",8,"(7.5, 10.0]","Domestic Shorthair Mix","Brown Tabby","Adoption",8,2,8,1,"over one month","Fixed"
"75","A478560","Public Assist","Normal",7,"Dog","Female",7,"(5.0, 7.5]","Australian Cattle Dog Mix","Blue Tick","Return to Owner",7,0,1,0,"under_one_month","Fixed"
"76","A479137","Owner Surrender","Normal",6,"Dog","Female",9,"(7.5, 10.0]","Black Mouth Cur Mix","Brown","Adoption",9,0,1,0,"under_one_month","Fixed"
"77","A484851","Stray","Normal",9,"Dog","Female",10,"(7.5, 10.0]","Tibetan Terrier Mix","Cream","Adoption",10,0,1,0,"under_one_month","Fixed"
"78","A484925","Stray","Sick",9,"Dog","Female",7,"(5.0, 7.5]","Australian Shepherd","Brown","Transfer",7,0,1,0,"under_one_month","Intact"
"79","A484945","Owner Surrender","Normal",50,"Cat","Male",7,"(5.0, 7.5]","Domestic Shorthair Mix","Black","Transfer",7,2,7,1,"over one month","Fixed"
"80","A488204","Stray","Normal",8,"Dog","Male",11,"(10.0, 12.5]","Collie Rough","Brown","Return to Owner",11,0,1,0,"under_one_month","Fixed"
"81","A488234","Public Assist","Normal",7,"Dog","Male",8,"(7.5, 10.0]","German Shepherd","Brown","Return to Owner",8,0,1,0,"under_one_month","Fixed"
"82","A489912","Owner Surrender","Aged",9,"Dog","Male",10,"(7.5, 10.0]","Chihuahua Shorthair Mix","Tan","Adoption",10,0,1,0,"under_one_month","Fixed"
"83","A492030","Stray","Normal",6,"Dog","Male",10,"(7.5, 10.0]","Miniature Pinscher Mix","Chocolate","Return to Owner",10,0,1,0,"under_one_month","Fixed"
"84","A493761","Public Assist","Normal",6,"Dog","Male",13,"(12.5, 15.0]","Miniature Poodle Mix","White","Euthanasia",13,0,1,0,"under_one_month","Fixed"
"85","A495060","Owner Surrender","Normal",75,"Dog","Female",8,"(7.5, 10.0]","Border Collie Mix","White","Adoption",8,2,11,1,"over one month","Fixed"
"86","A499387","Owner Surrender","Normal",9,"Cat","Female",8,"(7.5, 10.0]","Domestic Shorthair Mix","Brown Tabby","Adoption",8,0,1,0,"under_one_month","Fixed"
"87","A500002","Public Assist","Normal",7,"Dog","Male",6,"(5.0, 7.5]","Labrador Retriever","Black","Return to Owner",6,0,1,0,"under_one_month","Intact"
"88","A502862","Public Assist","Normal",9,"Dog","Male",7,"(5.0, 7.5]","Labrador Retriever","Brown","Return to Owner",7,0,1,0,"under_one_month","Fixed"
"89","A503957","Owner Surrender","Normal",9,"Cat","Male",10,"(7.5, 10.0]","Domestic Longhair","Brown Tabby","Adoption",10,0,1,0,"under_one_month","Fixed"
"90","A504280","Public Assist","Normal",8,"Dog","Male",6,"(5.0, 7.5]","Flat Coat Retriever Mix","Black","Return to Owner",6,0,1,0,"under_one_month","Fixed"
"91","A504813","Stray","Normal",6,"Dog","Female",9,"(7.5, 10.0]","Yorkshire Terrier","Tan","Return to Owner",9,0,1,0,"under_one_month","Intact"
"92","A506775","Stray","Aged",6,"Dog","Female",9,"(7.5, 10.0]","Boston Terrier","Black","Transfer",9,0,1,0,"under_one_month","Fixed"
"93","A506854","Stray","Normal",6,"Dog","Male",6,"(5.0, 7.5]","Golden Retriever Mix","Gold","Return to Owner",6,0,1,0,"under_one_month","Fixed"
"94","A509868","Stray","Normal",7,"Dog","Female",6,"(5.0, 7.5]","Rat Terrier Mix","White","Return to Owner",6,0,1,0,"under_one_month","Fixed"
"95","A510475","Stray","Normal",6,"Dog","Male",7,"(5.0, 7.5]","Pit Bull Mix","Red","Return to Owner",7,0,1,0,"under_one_month","Intact"
"96","A511050","Public Assist","Normal",7,"Dog","Male",7,"(5.0, 7.5]","Australian Kelpie Mix","White","Return to Owner",7,0,1,0,"under_one_month","Fixed"
"97","A512959","Owner Surrender","Normal",7,"Dog","Male",6,"(5.0, 7.5]","German Shepherd Mix","Brown","Adoption",6,0,1,0,"under_one_month","Fixed"
"98","A515677","Stray","Normal",8,"Dog","Female",7,"(5.0, 7.5]","Pit Bull Mix","White","Transfer",7,0,1,0,"under_one_month","Fixed"
"99","A516260","Owner Surrender","Normal",58,"Dog","Female",10,"(7.5, 10.0]","Pit Bull Mix","Tan","Euthanasia",10,2,8,1,"over one month","Fixed"
"100","A518545","Public Assist","Normal",7,"Dog","Female",9,"(7.5, 10.0]","Labrador Retriever Mix","Red","Return to Owner",9,0,1,0,"under_one_month","Fixed"
"101","A518769","Stray","Normal",9,"Dog","Female",9,"(7.5, 10.0]","Labrador Retriever Mix","Brown","Return to Owner",9,0,1,0,"under_one_month","Fixed"
"102","A519536","Stray","Normal",8,"Cat","Female",6,"(5.0, 7.5]","Siamese Mix","Calico Point","Transfer",6,0,1,0,"under_one_month","Fixed"
"103","A520040","Public Assist","Normal",8,"Dog","Female",6,"(5.0, 7.5]","Labrador Retriever","Black","Return to Owner",6,0,1,0,"under_one_month","Fixed"
"104","A520572","Stray","Normal",6,"Dog","Female",6,"(5.0, 7.5]","Catahoula Mix","Brown Brindle","Return to Owner",6,0,1,0,"under_one_month","Fixed"
"105","A522050","Public Assist","Normal",9,"Dog","Male",10,"(7.5, 10.0]","Shih Tzu","Buff","Return to Owner",10,0,1,0,"under_one_month","Fixed"
"106","A522484","Public Assist","Normal",9,"Cat","Female",5,"(2.5, 5.0]","Domestic Shorthair Mix","Blue Tabby","Return to Owner",5,0,1,0,"under_one_month","Fixed"
"107","A523102","Owner Surrender","Normal",59,"Cat","Male",9,"(7.5, 10.0]","Domestic Shorthair Mix","Brown Tabby","Adoption",9,2,8,1,"over one month","Fixed"
"108","A524313","Stray","Normal",53,"Dog","Female",8,"(7.5, 10.0]","Australian Cattle Dog Mix","White","Adoption",8,2,8,1,"over one month","Fixed"
"109","A525592","Stray","Normal",67,"Cat","Female",7,"(5.0, 7.5]","Domestic Shorthair Mix","Brown Tabby","Adoption",7,2,10,1,"over one month","Fixed"
"110","A525768","Owner Surrender","Normal",7,"Dog","Female",6,"(5.0, 7.5]","Labrador Retriever Mix","Brown","Adoption",6,0,1,0,"under_one_month","Fixed"
"111","A526647","Stray","Injured",6,"Dog","Male",6,"(5.0, 7.5]","Maltese Mix","White","Return to Owner",6,0,1,0,"under_one_month","Fixed"
"112","A528322","Owner Surrender","Normal",8,"Dog","Male",6,"(5.0, 7.5]","Siberian Husky","Brown","Adoption",6,0,1,0,"under_one_month","Fixed"
"113","A530122","Stray","Normal",6,"Dog","Female",7,"(5.0, 7.5]","Siberian Husky","Black","Transfer",7,0,1,0,"under_one_month","Intact"
"114","A530589","Stray","Normal",6,"Dog","Female",12,"(10.0, 12.5]","Labrador Retriever Mix","Black","Return to Owner",12,0,1,0,"under_one_month","Fixed"
"115","A532505","Stray","Normal",6,"Cat","Female",6,"(5.0, 7.5]","Domestic Shorthair Mix","Brown Tabby","Return to Owner",6,0,1,0,"under_one_month","Fixed"
"116","A532762","Stray","Normal",8,"Dog","Male",10,"(7.5, 10.0]","Australian Cattle Dog Mix","White","Adoption",10,0,1,0,"under_one_month","Fixed"
"117","A533019","Public Assist","Normal",6,"Dog","Male",7,"(5.0, 7.5]","Scottish Terrier","Black","Transfer",7,0,1,0,"under_one_month","Intact"
"118","A533106","Stray","Normal",74,"Dog","Male",7,"(5.0, 7.5]","Podengo Pequeno Mix","Black","Adoption",7,2,11,1,"over one month","Intact"
"119","A534502","Stray","Normal",6,"Dog","Male",7,"(5.0, 7.5]","Boxer Mix","Black Brindle","Return to Owner",7,0,1,0,"under_one_month","Fixed"
"120","A534780","Stray","Normal",53,"Dog","Male",6,"(5.0, 7.5]","Parson Russell Terrier Mix","White","Adoption",6,2,8,1,"over one month","Fixed"
"121","A535012","Public Assist","Normal",6,"Dog","Male",9,"(7.5, 10.0]","Chow Chow Mix","Black","Adoption",9,0,1,0,"under_one_month","Fixed"
"122","A535071","Stray","Normal",7,"Dog","Male",8,"(7.5, 10.0]","Collie Smooth Mix","Brown","Transfer",8,0,1,0,"under_one_month","Fixed"
"123","A535292","Owner Surrender","Injured",62,"Dog","Male",9,"(7.5, 10.0]","Pointer","White","Adoption",9,2,9,1,"over one month","Fixed"
"124","A535484","Stray","Normal",77,"Dog","Male",5,"(2.5, 5.0]","Pit Bull Mix","White","Adoption",5,3,11,1,"over one month","Fixed"
"125","A536136","Public Assist","Normal",7,"Dog","Female",8,"(7.5, 10.0]","Chow Chow Mix","Buff","Return to Owner",8,0,1,0,"under_one_month","Intact"
"126","A536757","Public Assist","Normal",8,"Dog","Female",8,"(7.5, 10.0]","Miniature Poodle Mix","Buff","Return to Owner",8,0,1,0,"under_one_month","Fixed"
"127","A538454","Public Assist","Normal",7,"Dog","Female",9,"(7.5, 10.0]","Boston Terrier","Black","Return to Owner",9,0,1,0,"under_one_month","Fixed"
"128","A538454","Stray","Injured",58,"Dog","Female",8,"(7.5, 10.0]","Boston Terrier","Black","Euthanasia",8,2,8,1,"over one month","Fixed"
"129","A538585","Stray","Injured",63,"Dog","Female",5,"(2.5, 5.0]","Pit Bull Mix","Red","Transfer",5,2,9,1,"over one month","Fixed"
"130","A538702","Owner Surrender","Normal",66,"Cat","Female",7,"(5.0, 7.5]","Domestic Shorthair","Orange Tabby","Missing",7,2,9,1,"over one month","Fixed"
"131","A539059","Stray","Normal",7,"Dog","Male",8,"(7.5, 10.0]","Labrador Retriever","Black","Transfer",8,0,1,0,"under_one_month","Fixed"
"132","A540225","Owner Surrender","Normal",9,"Cat","Male",9,"(7.5, 10.0]","Domestic Shorthair Mix","Orange Tabby","Transfer",9,0,1,0,"under_one_month","Fixed"
"133","A541496","Public Assist","Normal",9,"Dog","Female",8,"(7.5, 10.0]","Labrador Retriever","Tan","Return to Owner",8,0,1,0,"under_one_month","Fixed"
"134","A541517","Stray","Normal",9,"Dog","Female",4,"(2.5, 5.0]","Australian Kelpie Mix","Black","Return to Owner",4,0,1,0,"under_one_month","Fixed"
"135","A541994","Public Assist","Normal",9,"Cat","Male",6,"(5.0, 7.5]","American Shorthair Mix","White","Return to Owner",6,0,1,0,"under_one_month","Fixed"
"136","A542056","Owner Surrender","Normal",6,"Cat","Female",5,"(2.5, 5.0]","Siamese Mix","Calico Point","Transfer",5,0,1,0,"under_one_month","Fixed"
"137","A542462","Public Assist","Normal",6,"Dog","Male",5,"(2.5, 5.0]","Rottweiler","Black","Return to Owner",5,0,1,0,"under_one_month","Fixed"
"138","A542708","Stray","Normal",59,"Cat","Male",6,"(5.0, 7.5]","Domestic Shorthair Mix","Orange Tabby","Adoption",6,2,8,1,"over one month","Fixed"
"139","A542712","Stray","Normal",6,"Cat","Female",4,"(2.5, 5.0]","Domestic Shorthair Mix","Torbie","Euthanasia",4,0,1,0,"under_one_month","Fixed"
"140","A543040","Owner Surrender","Normal",8,"Cat","Male",8,"(7.5, 10.0]","Domestic Longhair Mix","Brown Tabby","Adoption",8,0,1,0,"under_one_month","Fixed"
"141","A543040","Owner Surrender","Normal",7,"Cat","Male",8,"(7.5, 10.0]","Domestic Longhair Mix","Brown Tabby","Adoption",8,0,1,0,"under_one_month","Fixed"
"142","A543256","Stray","Normal",6,"Dog","Male",11,"(10.0, 12.5]","Chihuahua Shorthair","Brown","Return to Owner",11,0,1,0,"under_one_month","Fixed"
"143","A544109","Stray","Normal",56,"Dog","Female",7,"(5.0, 7.5]","Pit Bull","Brown Brindle","Return to Owner",7,2,8,1,"over one month","Fixed"
"144","A545373","Public Assist","Normal",7,"Dog","Female",12,"(10.0, 12.5]","American Staffordshire Terrier","Black","Return to Owner",12,0,1,0,"under_one_month","Fixed"
"145","A545642","Owner Surrender","Normal",7,"Dog","Female",5,"(2.5, 5.0]","Miniature Pinscher","Black","Return to Owner",5,0,1,0,"under_one_month","Fixed"
"146","A545644","Owner Surrender","Normal",6,"Dog","Male",10,"(7.5, 10.0]","Miniature Pinscher","Chocolate","Adoption",10,0,1,0,"under_one_month","Fixed"
"147","A545644","Owner Surrender","Normal",7,"Dog","Male",7,"(5.0, 7.5]","Miniature Pinscher","Chocolate","Return to Owner",7,0,1,0,"under_one_month","Fixed"
"148","A546081","Owner Surrender","Normal",8,"Dog","Male",5,"(2.5, 5.0]","Miniature Poodle","White","Adoption",5,0,1,0,"under_one_month","Fixed"
"149","A546730","Public Assist","Normal",6,"Dog","Female",7,"(5.0, 7.5]","Boxer Mix","Red","Return to Owner",7,0,1,0,"under_one_month","Intact"
"150","A547015","Stray","Normal",8,"Dog","Male",6,"(5.0, 7.5]","Pekingese","Gold","Adoption",6,0,1,0,"under_one_month","Intact"
"151","A547088","Owner Surrender","Normal",6,"Dog","Male",6,"(5.0, 7.5]","Labrador Retriever","Brown","Adoption",6,0,1,0,"under_one_month","Fixed"
"152","A548085","Public Assist","Normal",7,"Dog","Male",6,"(5.0, 7.5]","Pit Bull Mix","Black","Return to Owner",6,0,1,0,"under_one_month","Intact"
"153","A548948","Stray","Normal",65,"Dog","Female",6,"(5.0, 7.5]","Pit Bull Mix","White","Euthanasia",6,2,9,1,"over one month","Fixed"
"154","A549056","Stray","Normal",63,"Cat","Female",10,"(7.5, 10.0]","Domestic Shorthair Mix","Brown Tabby","Adoption",10,2,9,1,"over one month","Fixed"
"155","A549167","Owner Surrender","Normal",7,"Dog","Female",6,"(5.0, 7.5]","Great Pyrenees","White","Adoption",6,0,1,0,"under_one_month","Fixed"
"156","A549282","Stray","Normal",7,"Dog","Male",6,"(5.0, 7.5]","Pit Bull","Brown Brindle","Adoption",6,0,1,0,"under_one_month","Fixed"
"157","A549440","Public Assist","Normal",7,"Dog","Male",9,"(7.5, 10.0]","Dachshund Longhair Mix","Blue Merle","Return to Owner",9,0,1,0,"under_one_month","Fixed"
"158","A549444","Stray","Injured",7,"Dog","Male",8,"(7.5, 10.0]","Chihuahua Shorthair","Tan","Return to Owner",8,0,1,0,"under_one_month","Intact"
"159","A549639","Stray","Normal",7,"Dog","Female",5,"(2.5, 5.0]","Pit Bull Mix","Brown","Return to Owner",5,0,1,0,"under_one_month","Fixed"
"160","A549697","Owner Surrender","Normal",7,"Cat","Female",5,"(2.5, 5.0]","Domestic Shorthair Mix","Black","Transfer",5,0,1,0,"under_one_month","Fixed"
"161","A549918","Owner Surrender","Normal",8,"Cat","Male",4,"(2.5, 5.0]","Domestic Shorthair Mix","Black","Transfer",4,0,1,0,"under_one_month","Fixed"
"162","A549922","Stray","Normal",9,"Dog","Female",4,"(2.5, 5.0]","Chihuahua Shorthair","Brown","Transfer",4,0,1,0,"under_one_month","Fixed"
"163","A549989","Owner Surrender","Normal",7,"Cat","Male",4,"(2.5, 5.0]","Domestic Shorthair Mix","Black","Adoption",4,0,1,0,"under_one_month","Fixed"
"164","A551055","Owner Surrender","Normal",7,"Dog","Male",11,"(10.0, 12.5]","Parson Russell Terrier Mix","White","Transfer",11,0,1,0,"under_one_month","Fixed"
"165","A551384","Owner Surrender","Normal",90,"Dog","Male",8,"(7.5, 10.0]","Basenji Mix","Red","Adoption",8,3,13,1,"over one month","Fixed"
"166","A551426","Owner Surrender","Normal",6,"Dog","Female",8,"(7.5, 10.0]","Cocker Spaniel","Buff","Euthanasia",8,0,1,0,"under_one_month","Fixed"
"167","A551529","Stray","Sick",7,"Dog","Male",9,"(7.5, 10.0]","Yorkshire Terrier","Brown","Transfer",9,0,1,0,"under_one_month","Fixed"
